epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,38236,1.11696,1.59651,0.87205,1.42441,0.55279,0.58265,0.59448,0.38667,0.55345,0.55484,0.57624,0.34155,1.33637,0.51615,0.58142,1.72201,0.001783,0.001783,0.001783
85,38680.6,1.11622,1.58772,0.86725,1.42355,0.55775,0.56843,0.59413,0.38785,0.54865,0.55083,0.57622,0.34216,1.33693,0.51741,0.58114,1.7227,0.001684,0.001684,0.001684
86,39130.3,1.11556,1.59797,0.8582,1.41838,0.55651,0.57114,0.59424,0.3871,0.55152,0.55218,0.57583,0.3404,1.3374,0.51615,0.58063,1.72324,0.001585,0.001585,0.001585
87,39574.5,1.10946,1.58155,0.85077,1.41826,0.55586,0.57214,0.59565,0.38814,0.55275,0.55226,0.57647,0.34158,1.33784,0.51634,0.57961,1.72385,0.001486,0.001486,0.001486
88,40017.4,1.10452,1.56434,0.84676,1.41213,0.55954,0.57194,0.5951,0.38751,0.5862,0.52432,0.57657,0.34008,1.33828,0.51645,0.5792,1.72436,0.001387,0.001387,0.001387
89,40461.9,1.10429,1.56089,0.83602,1.41652,0.55776,0.57364,0.59524,0.38767,0.58478,0.52422,0.57725,0.34056,1.3392,0.51663,0.57862,1.72542,0.001288,0.001288,0.001288
90,40905.6,1.10286,1.57179,0.8435,1.41084,0.55511,0.57696,0.59504,0.38684,0.54458,0.55741,0.577,0.34065,1.33972,0.51703,0.57821,1.72616,0.001189,0.001189,0.001189
91,41318.2,0.99234,1.612,0.53564,1.44151,0.55392,0.57922,0.59599,0.3883,0.54301,0.55616,0.57769,0.34115,1.34017,0.51716,0.57788,1.72675,0.00109,0.00109,0.00109
92,41732,0.97625,1.57872,0.5166,1.42975,0.57947,0.55126,0.59678,0.38869,0.58021,0.53468,0.57783,0.34143,1.34071,0.51744,0.57694,1.72774,0.000991,0.000991,0.000991
93,42145.4,0.97321,1.5866,0.51247,1.4309,0.55112,0.57577,0.59655,0.38848,0.58141,0.53233,0.57804,0.34275,1.34137,0.51739,0.57659,1.72872,0.000892,0.000892,0.000892
94,42558.4,0.96532,1.56381,0.50083,1.42014,0.55423,0.57388,0.59633,0.38844,0.58683,0.53335,0.57778,0.34207,1.34184,0.51735,0.57589,1.72946,0.000793,0.000793,0.000793
95,42977.9,0.95151,1.55968,0.49264,1.40931,0.57309,0.55893,0.59618,0.38862,0.58495,0.53298,0.57825,0.34141,1.34225,0.51743,0.57499,1.73044,0.000694,0.000694,0.000694
96,43395.5,0.94644,1.55165,0.49277,1.40643,0.57649,0.5568,0.59604,0.38819,0.58963,0.52665,0.57867,0.34118,1.34268,0.51741,0.57456,1.73119,0.000595,0.000595,0.000595
97,43813.4,0.93979,1.5374,0.48399,1.39815,0.57765,0.55576,0.59598,0.38823,0.59162,0.52669,0.57883,0.34145,1.343,0.51751,0.57415,1.73183,0.000496,0.000496,0.000496
98,44229.9,0.93119,1.53501,0.48067,1.39437,0.58141,0.55522,0.59604,0.38822,0.5879,0.52863,0.57755,0.34182,1.34336,0.51771,0.5736,1.73242,0.000397,0.000397,0.000397
99,44672,0.93036,1.52058,0.47314,1.38856,0.55758,0.57821,0.59637,0.3884,0.57648,0.54117,0.578,0.34171,1.34406,0.51777,0.57302,1.73365,0.000298,0.000298,0.000298
100,45587.3,0.92412,1.52088,0.47051,1.38882,0.5872,0.5519,0.59732,0.38937,0.59107,0.5273,0.57911,0.34162,1.3443,0.51766,0.57256,1.73432,0.000199,0.000199,0.000199
